epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,78.7467,0.66586,1.13219,0.63813,0.98467,0.00585,0.00832,0.00832,nan,nan,nan,0.000552491,0.000552491,0.000552491
2,144.195,0.16296,0.35301,0.09232,0.80486,0.82418,0.82304,0.78794,0.081,0.62654,0.04996,0.00109719,0.00109719,0.00109719
3,210.484,0.15838,0.37188,0.09057,0.80902,0.86997,0.84538,0.80527,0.09448,0.40938,0.06838,0.00163088,0.00163088,0.00163088
4,275.319,0.16233,0.34674,0.08826,0.87983,0.97363,0.94779,0.91409,0.07933,0.27518,0.04692,0.00161749,0.00161749,0.00161749
5,340.45,0.15926,0.42413,0.08415,0.82233,0.96375,0.90804,0.86179,0.08913,0.38474,0.04959,0.00160099,0.00160099,0.00160099
6,405.362,0.1733,0.445,0.09695,0.74875,0.95809,0.86809,0.82883,0.08168,0.37861,0.04767,0.00158448,0.00158448,0.00158448
7,470.372,0.15395,0.3759,0.08435,0.85671,0.99049,0.92531,0.89492,0.07022,0.26918,0.04018,0.00156798,0.00156798,0.00156798
8,534.322,0.13444,0.34052,0.07379,0.85102,0.91479,0.89613,0.85856,nan,nan,nan,0.00155148,0.00155148,0.00155148
9,598.406,0.1308,0.32902,0.07377,0.85223,0.99415,0.94577,0.92031,0.06504,0.23988,0.03703,0.00153497,0.00153497,0.00153497
10,663.165,0.12647,0.3148,0.0687,0.85586,0.98526,0.96414,0.93545,0.07285,0.28759,0.04368,0.00151847,0.00151847,0.00151847
11,728.415,0.12523,0.29954,0.07048,0.8996,0.95397,0.96994,0.94191,0.06465,0.23823,0.03936,0.00150197,0.00150197,0.00150197
12,793.993,0.12908,0.30433,0.07239,0.88529,0.98488,0.9556,0.92959,0.06851,0.2427,0.03942,0.00148546,0.00148546,0.00148546
13,858.902,0.11947,0.30585,0.06793,0.87929,0.96462,0.9567,0.92865,0.06604,0.27005,0.03703,0.00146896,0.00146896,0.00146896
14,924.566,0.12904,0.33701,0.07114,0.85097,0.99708,0.94652,0.92051,0.06818,0.26104,0.03948,0.00145246,0.00145246,0.00145246
15,989.215,0.11507,0.29969,0.06697,0.90791,0.98328,0.97033,0.94552,0.05663,0.21517,0.03362,0.00143595,0.00143595,0.00143595
16,1054.76,0.11242,0.30645,0.06304,0.88781,0.97891,0.98025,0.953,0.06092,0.20955,0.03548,0.00141945,0.00141945,0.00141945
17,1120.38,0.11858,0.32286,0.06758,0.88366,0.98472,0.9456,0.91199,0.05778,0.21484,0.03347,0.00140295,0.00140295,0.00140295
18,1185.13,0.11652,0.29107,0.06558,0.90009,0.98196,0.97735,0.95042,0.05718,0.22377,0.0335,0.00138644,0.00138644,0.00138644
19,1249.81,0.12161,0.2861,0.06918,0.88662,0.89672,0.93458,0.90408,0.06574,0.36674,0.04013,0.00136994,0.00136994,0.00136994
20,1315.37,0.1192,0.28718,0.06685,0.90156,0.99123,0.9784,0.95543,0.05608,0.18737,0.03182,0.00135344,0.00135344,0.00135344
21,1381.01,0.11442,0.28343,0.06241,0.88377,0.95013,0.96377,0.9392,nan,nan,nan,0.00133693,0.00133693,0.00133693
22,1446.12,0.11417,0.28152,0.06084,0.88405,0.98873,0.97711,0.95553,0.05277,0.19108,0.02961,0.00132043,0.00132043,0.00132043
23,1512.23,0.10802,0.2856,0.06059,0.89673,0.9734,0.98017,0.95812,0.05451,0.19271,0.03168,0.00130393,0.00130393,0.00130393
24,1577.74,0.10331,0.28387,0.05923,0.88163,0.97343,0.97832,0.95163,nan,nan,nan,0.00128742,0.00128742,0.00128742
