epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.26,0.83526,1.92926,1.14759,0.38841,0.38546,0.27165,0.21642,1.63988,645.14,2.71006,0.000552319,0.000552319,0.000552319
2,124.796,0.98989,0.72566,1.19874,0.86033,0.78442,0.8851,0.69102,0.70836,0.99452,1.06912,0.0011025,0.0011025,0.0011025
3,178.336,0.98654,0.58083,1.20329,0.83775,0.80206,0.88687,0.73372,0.63918,1.38026,1.01236,0.00164718,0.00164718,0.00164718
4,230.697,0.90873,0.5724,1.16583,0.90934,0.88053,0.94014,0.79746,0.58066,0.85602,0.99993,0.00164225,0.00164225,0.00164225
5,283.168,0.89038,0.53406,1.16015,0.947,0.96081,0.98715,0.86885,0.52268,0.39929,0.97381,0.00163399,0.00163399,0.00163399
6,336.771,0.85407,0.46122,1.14199,0.95421,0.94932,0.98443,0.86081,0.52527,0.29774,0.97944,0.00162574,0.00162574,0.00162574
7,389.854,0.85125,0.47266,1.13847,0.97324,0.94864,0.9911,0.87973,0.48205,0.32363,0.9404,0.00161749,0.00161749,0.00161749
8,442.197,0.8184,0.42552,1.12406,0.97176,0.97011,0.99332,0.87622,0.48717,0.27058,0.94625,0.00160924,0.00160924,0.00160924
9,496.258,0.79242,0.40136,1.10435,0.98372,0.96787,0.99258,0.88236,0.476,0.22288,0.93416,0.00160099,0.00160099,0.00160099
10,548.979,0.78524,0.39489,1.11279,0.98127,0.93495,0.98832,0.88133,0.47564,0.23899,0.93776,0.00159274,0.00159274,0.00159274
11,602.932,0.78004,0.39494,1.09747,0.96149,0.97365,0.98999,0.88392,0.47075,0.24791,0.94459,0.00158448,0.00158448,0.00158448
12,656.632,0.76573,0.39467,1.09776,0.96719,0.97263,0.99211,0.88433,0.48675,0.23114,0.94227,0.00157623,0.00157623,0.00157623
13,711.224,0.76631,0.38025,1.09852,0.99075,0.96943,0.99386,0.90685,0.43324,0.18477,0.92315,0.00156798,0.00156798,0.00156798
14,773.585,0.73263,0.35787,1.07975,0.96206,0.94391,0.98717,0.89524,0.44788,0.2773,0.9254,0.00155973,0.00155973,0.00155973
15,835.539,0.75334,0.38131,1.08527,0.97439,0.9838,0.99309,0.89679,0.4294,0.2248,0.93611,0.00155148,0.00155148,0.00155148
