epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.4242,1.08843,2.06775,1.21019,0.10026,0.15182,0.05775,0.03269,2.16193,132.187,5.60509,0.00329545,0.00329545,0.0703409
2,61.7039,1.08124,0.9773,1.18806,0.84877,0.35036,0.32487,0.21818,1.39348,11.9846,1.91711,0.00656316,0.00656316,0.0402753
3,89.4797,0.98229,0.78659,1.12823,0.62658,0.45085,0.3021,0.23553,0.92966,13.5986,1.27863,0.00976487,0.00976487,0.0101437
4,116.861,0.92921,0.75527,1.11235,0.51373,0.35319,0.34772,0.27679,1.34251,3.28666,1.50844,0.009703,0.009703,0.009703
5,144.427,0.88157,0.69924,1.09485,0.73763,0.64955,0.71037,0.57859,0.70807,2.34895,1.02419,0.009604,0.009604,0.009604
6,172.209,0.81943,0.64306,1.04896,0.79528,0.82231,0.84936,0.70454,0.75337,0.86069,1.09222,0.009505,0.009505,0.009505
7,202.723,0.80094,0.60484,1.04137,0.63895,0.49335,0.54405,0.44835,0.92303,2.66051,1.20522,0.009406,0.009406,0.009406
8,234.106,0.75931,0.60173,1.03233,0.73072,0.78057,0.75534,0.65359,0.58866,1.14028,0.95048,0.009307,0.009307,0.009307
9,264.225,0.72174,0.60812,1.027,0.87438,0.92308,0.92503,0.81938,0.5255,0.68872,0.93873,0.009208,0.009208,0.009208
10,294.658,0.75229,0.57215,1.01827,0.26922,0.45493,0.27738,0.21189,1.56907,3.46778,2.19573,0.009109,0.009109,0.009109
11,325.38,0.69317,0.52844,1.00656,0.85929,0.9062,0.94285,0.82855,0.57366,0.51943,0.94195,0.00901,0.00901,0.00901
12,356.437,0.74768,0.54866,1.02189,0.83475,0.88961,0.91013,0.78713,0.59752,0.71415,0.97802,0.008911,0.008911,0.008911
13,387.679,0.68143,0.48433,0.99071,0.80849,0.86863,0.90259,0.80464,0.52572,0.70804,0.92975,0.008812,0.008812,0.008812
14,418.876,0.67579,0.53822,0.99493,0.8627,0.93805,0.93793,0.86045,0.45058,0.43474,0.89986,0.008713,0.008713,0.008713
15,450.009,0.64494,0.4474,0.99437,0.84046,0.86632,0.90754,0.83194,0.46163,0.57237,0.89196,0.008614,0.008614,0.008614
16,480.156,0.64915,0.4939,0.9686,0.87531,0.95291,0.95452,0.87908,0.44658,0.43877,0.88074,0.008515,0.008515,0.008515
17,510.781,0.63054,0.45387,0.97002,0.86447,0.92908,0.93705,0.84609,0.45592,0.44205,0.88497,0.008416,0.008416,0.008416
18,541.638,0.62997,0.44167,0.97709,0.88425,0.9546,0.93714,0.86443,0.42969,0.4201,0.88182,0.008317,0.008317,0.008317
19,572.266,0.66886,0.48147,0.97906,0.86603,0.9226,0.93548,0.85329,0.46646,0.51519,0.9047,0.008218,0.008218,0.008218
20,603.407,0.62703,0.46047,0.97053,0.85405,0.84677,0.90902,0.84559,0.41897,0.59207,0.8746,0.008119,0.008119,0.008119
21,633.81,0.62894,0.48177,0.96988,0.88509,0.92854,0.95212,0.88059,0.40876,0.41575,0.87207,0.00802,0.00802,0.00802
22,664.436,0.63059,0.44421,0.96924,0.87749,0.97001,0.95395,0.90297,0.37377,0.36947,0.86336,0.007921,0.007921,0.007921
23,695.424,0.6145,0.44188,0.96985,0.85977,0.89921,0.9356,0.88048,0.38785,0.40834,0.87303,0.007822,0.007822,0.007822
24,726.207,0.59309,0.46999,0.96208,0.8802,0.9587,0.95377,0.89899,0.38271,0.35403,0.86155,0.007723,0.007723,0.007723
25,757.43,0.57352,0.43623,0.95167,0.88398,0.91482,0.94494,0.88568,0.37645,0.59309,0.86552,0.007624,0.007624,0.007624
26,788.185,0.58549,0.4013,0.95295,0.89523,0.9719,0.96435,0.90868,0.36087,0.3166,0.88433,0.007525,0.007525,0.007525
27,819.043,0.58469,0.40917,0.96099,0.89931,0.96506,0.95207,0.89198,0.3857,0.80361,0.85422,0.007426,0.007426,0.007426
28,849.251,0.57092,0.41351,0.94594,0.91066,0.77869,0.8454,0.79533,nan,nan,nan,0.007327,0.007327,0.007327
29,880.103,0.54642,0.37583,0.9401,0.88826,0.94307,0.9539,0.89518,0.39754,0.41607,0.86755,0.007228,0.007228,0.007228
30,910.78,0.545,0.4171,0.94521,0.90132,0.95744,0.94829,0.89417,0.37543,0.34541,0.84923,0.007129,0.007129,0.007129
