epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.994,0.5099,1.00136,0.95668,0.70374,0.68314,0.77883,0.6328,0.69715,1.25991,1.10454,0.000549352,0.000549352,0.000549352
2,261.025,0.62119,0.66498,0.99011,0.75565,0.80787,0.78388,0.66184,0.65606,1.84081,1.11425,0.00109773,0.00109773,0.00109773
3,376.201,0.62501,0.63291,0.98967,0.71986,0.82711,0.83174,0.68414,0.66043,3.36063,1.02218,0.00163876,0.00163876,0.00163876
4,492.361,0.64718,0.62678,1.00583,0.6592,0.82969,0.84151,0.72299,0.56312,3.55162,1.00703,0.00163399,0.00163399,0.00163399
5,607.509,0.60107,0.58335,0.98059,0.89073,0.98884,0.92594,0.84412,0.46007,0.58982,0.89045,0.00162299,0.00162299,0.00162299
6,722.666,0.54414,0.53302,0.95696,0.84452,0.98616,0.91858,0.85379,0.41424,0.67355,0.87546,0.00161199,0.00161199,0.00161199
7,837.133,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00160099,0.00160099,0.00160099
8,955.568,0.51137,0.49017,0.951,0,0,0,0,nan,nan,nan,0.00158998,0.00158998,0.00158998
9,1071.94,0.49613,0.4718,0.94824,0,0,0,0,nan,nan,nan,0.00157898,0.00157898,0.00157898
10,1188.9,0.46747,0.4788,0.93034,0,0,0,0,nan,nan,nan,0.00156798,0.00156798,0.00156798
11,1306.06,0.46316,0.44944,0.93599,0,0,0,0,nan,nan,nan,0.00155698,0.00155698,0.00155698
12,1423.27,0.45307,0.4553,0.9224,0,0,0,0,nan,nan,nan,0.00154598,0.00154598,0.00154598
13,1540.39,0.44005,0.42542,0.91749,0,0,0,0,nan,nan,nan,0.00153497,0.00153497,0.00153497
14,1656.96,0.45954,0.45045,0.9324,0,0,0,0,nan,nan,nan,0.00152397,0.00152397,0.00152397
15,1773.74,0.42084,0.443,0.9178,0,0,0,0,nan,nan,nan,0.00151297,0.00151297,0.00151297
16,1890.73,0.41897,0.42179,0.91352,0,0,0,0,nan,nan,nan,0.00150197,0.00150197,0.00150197
17,2008.36,0.40827,0.42228,0.90988,0,0,0,0,nan,nan,nan,0.00149096,0.00149096,0.00149096
18,2125.97,0.41461,0.43939,0.92529,0,0,0,0,nan,nan,nan,0.00147996,0.00147996,0.00147996
19,2243.39,0.40565,0.41215,0.91237,0,0,0,0,nan,nan,nan,0.00146896,0.00146896,0.00146896
20,2360.08,0.40965,0.41218,0.92122,0,0,0,0,nan,nan,nan,0.00145796,0.00145796,0.00145796
21,2474.82,0.42099,0.43081,0.92806,0,0,0,0,nan,nan,nan,0.00144696,0.00144696,0.00144696
22,2589.59,0.38959,0.40403,0.90639,0,0,0,0,nan,nan,nan,0.00143595,0.00143595,0.00143595
23,2705.14,0.38748,0.41353,0.90433,0,0,0,0,nan,nan,nan,0.00142495,0.00142495,0.00142495
24,2821.98,0.41331,0.41788,0.91309,0,0,0,0,nan,nan,nan,0.00141395,0.00141395,0.00141395
25,2938.52,0.38322,0.39186,0.90339,0,0,0,0,nan,nan,nan,0.00140295,0.00140295,0.00140295
26,3055.03,0.35979,0.38167,0.88948,0,0,0,0,nan,nan,nan,0.00139195,0.00139195,0.00139195
27,3171.67,0.35059,0.37583,0.89571,0,0,0,0,nan,nan,nan,0.00138094,0.00138094,0.00138094
28,3288.64,0.39267,0.39596,0.90657,0,0,0,0,nan,nan,nan,0.00136994,0.00136994,0.00136994
29,3405.36,0.37264,0.38063,0.90201,0,0,0,0,nan,nan,nan,0.00135894,0.00135894,0.00135894
30,3522.43,0.38229,0.38171,0.91644,0,0,0,0,nan,nan,nan,0.00134794,0.00134794,0.00134794
31,3639.4,0.34959,0.3676,0.89161,0,0,0,0,nan,nan,nan,0.00133693,0.00133693,0.00133693
32,3756.34,0.35498,0.36521,0.89463,0,0,0,0,nan,nan,nan,0.00132593,0.00132593,0.00132593
33,3873.49,0.35789,0.36622,0.89913,0,0,0,0,nan,nan,nan,0.00131493,0.00131493,0.00131493
34,3989.82,0.35541,0.36306,0.89528,0,0,0,0,nan,nan,nan,0.00130393,0.00130393,0.00130393
35,4105.13,0.35886,0.36388,0.89327,0,0,0,0,nan,nan,nan,0.00129293,0.00129293,0.00129293
36,4219.26,0.35546,0.35273,0.89581,0,0,0,0,nan,nan,nan,0.00128192,0.00128192,0.00128192
37,4333.46,0.3524,0.36256,0.89685,0,0,0,0,nan,nan,nan,0.00127092,0.00127092,0.00127092
38,4448.22,0.36064,0.36472,0.89321,0,0,0,0,nan,nan,nan,0.00125992,0.00125992,0.00125992
39,4562.99,0.34473,0.36091,0.88638,0,0,0,0,nan,nan,nan,0.00124892,0.00124892,0.00124892
40,4677.55,0.3364,0.3514,0.88961,0,0,0,0,nan,nan,nan,0.00123791,0.00123791,0.00123791
41,4792.12,0.3544,0.3849,0.89258,0,0,0,0,nan,nan,nan,0.00122691,0.00122691,0.00122691
42,4906.69,0.34916,0.35789,0.89423,0,0,0,0,nan,nan,nan,0.00121591,0.00121591,0.00121591
43,5021.07,0.34023,0.35092,0.88949,0,0,0,0,nan,nan,nan,0.00120491,0.00120491,0.00120491
44,5135.64,0.34249,0.35239,0.88999,0,0,0,0,nan,nan,nan,0.00119391,0.00119391,0.00119391
45,5250.19,0.33157,0.35444,0.88242,0,0,0,0,nan,nan,nan,0.0011829,0.0011829,0.0011829
46,5364.75,0.31795,0.35717,0.88719,0,0,0,0,nan,nan,nan,0.0011719,0.0011719,0.0011719
47,5479.31,0.31733,0.3282,0.8697,0,0,0,0,nan,nan,nan,0.0011609,0.0011609,0.0011609
48,5594.08,0.33758,0.33433,0.88459,0,0,0,0,nan,nan,nan,0.0011499,0.0011499,0.0011499
49,5708.83,0.33824,0.34044,0.8899,0,0,0,0,nan,nan,nan,0.00113889,0.00113889,0.00113889
50,5822.78,0.32944,0.3276,0.88357,0,0,0,0,nan,nan,nan,0.00112789,0.00112789,0.00112789
51,5937.38,0.33414,0.3479,0.87837,0,0,0,0,nan,nan,nan,0.00111689,0.00111689,0.00111689
52,6052.14,0.32462,0.33941,0.88512,0,0,0,0,nan,nan,nan,0.00110589,0.00110589,0.00110589
53,6166.71,0.32447,0.32463,0.88088,0,0,0,0,nan,nan,nan,0.00109489,0.00109489,0.00109489
54,6281.28,0.3206,0.34925,0.88145,0,0,0,0,nan,nan,nan,0.00108388,0.00108388,0.00108388
55,6395.84,0.32652,0.3379,0.88613,0,0,0,0,nan,nan,nan,0.00107288,0.00107288,0.00107288
56,6510.2,0.32625,0.3311,0.88199,0,0,0,0,nan,nan,nan,0.00106188,0.00106188,0.00106188
57,6624.97,0.32129,0.32796,0.87144,0,0,0,0,nan,nan,nan,0.00105088,0.00105088,0.00105088
58,6739.55,0.30949,0.31731,0.87663,0,0,0,0,nan,nan,nan,0.00103987,0.00103987,0.00103987
59,6854.3,0.31459,0.32746,0.88077,0,0,0,0,nan,nan,nan,0.00102887,0.00102887,0.00102887
60,6968.47,0.3167,0.33175,0.87657,0,0,0,0,nan,nan,nan,0.00101787,0.00101787,0.00101787
61,7083,0.32064,0.32514,0.87586,0,0,0,0,nan,nan,nan,0.00100687,0.00100687,0.00100687
62,7197.41,0.31282,0.33286,0.87153,0,0,0,0,nan,nan,nan,0.000995866,0.000995866,0.000995866
63,7311.95,0.30387,0.31174,0.88749,0,0,0,0,nan,nan,nan,0.000984864,0.000984864,0.000984864
64,7426.22,0.31356,0.31976,0.88037,0,0,0,0,nan,nan,nan,0.000973861,0.000973861,0.000973861
65,7540.9,0.30561,0.31321,0.86824,0,0,0,0,nan,nan,nan,0.000962859,0.000962859,0.000962859
66,7655.44,0.29456,0.29084,0.86927,0,0,0,0,nan,nan,nan,0.000951857,0.000951857,0.000951857
67,7770.21,0.29686,0.30561,0.86435,0,0,0,0,nan,nan,nan,0.000940855,0.000940855,0.000940855
68,7884.78,0.30913,0.31946,0.87333,0,0,0,0,nan,nan,nan,0.000929853,0.000929853,0.000929853
