epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.8632,1.08137,4.37294,0.01089,0.83678,0.83648,0.87807,0.56041,1.24281,0.86315,0.01569,0.000549352,0.000549352,0.000549352
2,79.5635,1.19762,1.04742,0.01197,0.78428,0.73672,0.7885,0.5035,1.29075,1.04266,0.01572,0.00110475,0.00110475,0.00110475
3,110.89,1.22874,0.85879,0.01266,0.81874,0.58795,0.63427,0.43055,1.34739,1.6405,0.01669,0.00165906,0.00165906,0.00165906
4,142.027,1.28342,0.82277,0.01333,0.78367,0.76912,0.80687,0.5999,0.95018,1.20202,0.01079,0.00166334,0.00166334,0.00166334
5,173.438,1.18399,0.69671,0.01211,0.8381,0.83577,0.86197,0.59337,1.19767,0.77523,0.01474,0.00166049,0.00166049,0.00166049
6,204.722,1.14564,0.7011,0.01196,0.82361,0.71456,0.7621,0.55769,1.15765,0.96412,0.0141,0.00165684,0.00165684,0.00165684
7,236.367,1.1455,0.66377,0.01128,0.835,0.9208,0.89624,0.44357,1.74953,0.72238,0.02217,0.00165238,0.00165238,0.00165238
8,267.646,1.07586,0.63599,0.01104,0.863,0.91153,0.93158,0.6776,1.03965,0.52206,0.01123,0.00164713,0.00164713,0.00164713
9,299.33,1.06469,0.63887,0.01082,0.84867,0.96159,0.92817,0.65969,1.01605,0.57058,0.01251,0.00164108,0.00164108,0.00164108
10,330.818,0.98292,0.56596,0.00986,0.87701,0.88711,0.9232,0.69567,0.93487,0.58997,0.01103,0.00163424,0.00163424,0.00163424
11,365.049,1.0072,0.56454,0.01003,0.88072,0.93442,0.92948,0.50575,1.57052,0.61736,0.019,0.00162661,0.00162661,0.00162661
12,396.927,1.00251,0.55196,0.00994,0.87699,0.92043,0.92374,0.77244,0.70986,0.5152,0.00806,0.00161822,0.00161822,0.00161822
13,428.972,0.9574,0.52644,0.00965,0.83899,0.95644,0.94718,0.6474,1.10198,0.54025,0.01281,0.00160905,0.00160905,0.00160905
14,460.838,0.92099,0.53018,0.00911,0.83529,0.92933,0.92299,0.74163,0.80985,0.52461,0.00946,0.00159913,0.00159913,0.00159913
15,492.607,0.91152,0.53716,0.00864,0.86724,0.94305,0.94188,0.75212,0.85404,0.64989,0.01021,0.00158847,0.00158847,0.00158847
16,524.595,0.93072,0.55528,0.00925,0.86938,0.94298,0.93503,0.76142,0.75475,0.50209,0.00852,0.00157706,0.00157706,0.00157706
17,556.635,0.90117,0.52382,0.00878,0.83238,0.96457,0.93769,0.80235,0.63324,0.42208,0.00708,0.00156493,0.00156493,0.00156493
